input_tokens,output_tokens,resolution,num_images,trial,latency,cost
1000,256,2550x3300,0,4,0.23402704193722457,0.00015375
1000,256,2550x3300,0,5,0.2509180000051856,0.00015375
1000,256,2550x3300,0,3,0.2892274589976296,0.00015375
1000,256,2550x3300,0,6,0.28866150008980185,0.00015375
1000,256,1700x2200,2,3,2.9438245419878513,0.0009610500000000001
1000,256,850x1100,1,6,5.002818915992975,0.0005268
1000,256,1700x2200,1,9,3.544183791964315,0.0006006000000000001
1000,256,2550x3300,0,9,0.23291004193015397,0.00015375
1000,256,2550x3300,0,8,0.29897054098546505,0.00015375
1000,256,2550x3300,0,10,0.29277758300304413,0.00015375
1000,256,850x1100,3,1,4.1304452089825645,0.0010899
1000,256,1700x2200,1,2,4.034958208911121,0.0006096
1000,256,1700x2200,1,3,4.009079583920538,0.0006102000000000001
1000,256,850x1100,1,8,5.362659125006758,0.0005316
1000,256,850x1100,3,5,3.974986999994144,0.0010869
1000,256,1700x2200,1,5,3.901883708080277,0.0006078
1000,256,850x1100,3,10,3.531511666951701,0.0010863000000000001
1000,256,850x1100,3,6,4.460844082990661,0.0011001000000000001
1000,256,1700x2200,1,10,4.185481957974844,0.0006156
1000,256,1700x2200,1,4,4.480993292061612,0.0006216
1000,256,850x1100,2,1,5.236582624958828,0.0008218500000000001
1000,256,1700x2200,1,7,4.327182249980979,0.0006162
1000,256,2550x3300,0,7,1.4199374580057338,0.00015375
1000,256,850x1100,3,8,4.800014832988381,0.0011097
1000,256,850x1100,3,4,5.05468862503767,0.0011169
1000,256,850x1100,3,3,5.08157737494912,0.0011121
1000,256,1700x2200,1,6,4.91280595806893,0.0006353999999999999
1000,256,850x1100,1,4,6.826794666936621,0.0005808
1000,256,850x1100,3,9,5.080695833079517,0.0011247
1000,256,850x1100,3,7,5.528067416977137,0.0011319
1000,256,850x1100,1,9,6.969523374922574,0.0005748
1000,256,850x1100,2,3,6.370573083986528,0.0008584500000000001
1000,256,850x1100,2,4,6.380405750009231,0.0008590500000000001
1000,256,2550x3300,1,7,1.3097355830250308,0.000528
1000,256,1700x2200,2,7,4.8379222500370815,0.00101085
1000,256,850x1100,1,1,7.220814790925942,0.0005886
1000,256,850x1100,1,3,7.15229429199826,0.0005886
1000,256,850x1100,1,5,7.162551291985437,0.0005886
1000,256,850x1100,1,7,7.13514679193031,0.0005856
1000,256,3400x4400,0,1,0.28334470896515995,0.00015375
1000,256,3400x4400,0,2,0.3219211249379441,0.00015375
1000,256,1700x2200,1,1,6.513981541967951,0.0006756
1000,256,3400x4400,0,3,0.6080893750768155,0.00015375
1000,256,3400x4400,0,6,0.6078267089324072,0.00015375
1000,256,3400x4400,0,7,0.6095202079741284,0.00015375
1000,256,3400x4400,0,5,0.6270247909706086,0.00015375
1000,256,3400x4400,0,4,0.6585876250173897,0.00015375
1000,256,3400x4400,0,8,0.6535709999734536,0.00015375
1000,256,3400x4400,0,10,0.5263501249719411,0.00015375
1000,256,3400x4400,0,9,0.5731002499815077,0.00015375
1000,256,2550x3300,2,2,0.5988547500455752,0.00089565
1000,256,1700x2200,1,8,6.368489791057073,0.0006756
1000,256,2550x3300,1,4,2.5712500839727,0.0005610000000000001
1000,256,2550x3300,1,1,3.0692460410064086,0.0005652
1000,256,1700x2200,2,8,6.177725916961208,0.00104385
1000,256,2550x3300,2,1,1.541032666922547,0.0009220500000000001
1000,256,2550x3300,1,3,3.7350192919839174,0.0005862
1000,256,1700x2200,3,8,4.205133333103731,0.0013497000000000001
1000,256,2550x3300,1,9,3.249438999919221,0.0005796
1000,256,2550x3300,1,5,3.625512041966431,0.0005784000000000001
1000,256,2550x3300,2,5,1.2786684579914436,0.00089565
1000,256,1700x2200,3,3,5.108925999957137,0.0013899000000000001
1000,256,1700x2200,3,4,4.46442091697827,0.0013617000000000002
1000,256,1700x2200,3,6,4.5401383329881355,0.0013527000000000003
1000,256,1700x2200,3,1,5.419423750019632,0.0014067
1000,256,1700x2200,3,2,5.474801874952391,0.0014157000000000002
1000,256,2550x3300,2,3,1.7759885831037536,0.0009292500000000001
1000,256,2550x3300,2,6,1.41727091697976,0.0009052500000000001
1000,256,2550x3300,2,9,1.37359329208266,0.00089565
1000,256,2550x3300,1,8,3.762441207887605,0.0006174
1000,256,2550x3300,2,4,2.0875061249826103,0.00094185
1000,256,1700x2200,3,7,5.076158249983564,0.0013863000000000002
1000,256,1700x2200,3,5,5.157537000020966,0.0014151000000000003
1000,256,2550x3300,1,10,3.9979405000340194,0.0006402000000000001
1000,512,850x1100,0,2,0.37891525006853044,0.00015375
1000,256,2550x3300,1,2,5.1058793750125915,0.000654
1000,512,850x1100,0,1,0.4114924999885261,0.00015375
1000,256,1700x2200,3,10,5.466745625017211,0.0014091000000000002
1000,512,850x1100,0,6,0.30398120800964534,0.00015375
1000,512,850x1100,0,5,0.3250107920030132,0.00015375
1000,512,850x1100,0,3,0.6033729580231011,0.00015375
1000,512,850x1100,0,4,0.3509161659749225,0.00015375
1000,256,1700x2200,3,9,5.725046875071712,0.0014157000000000002
1000,256,2550x3300,2,8,2.5542766659054905,0.00094305
1000,256,2550x3300,1,6,5.215207249973901,0.0006744
1000,256,2550x3300,2,7,2.7666843340266496,0.0009532500000000001
1000,512,850x1100,0,7,0.49486570805311203,0.00015375
1000,512,850x1100,0,10,0.7453576249536127,0.00015375
1000,512,850x1100,0,8,0.7485588749404997,0.00015375
1000,256,2550x3300,2,10,3.0849075840087608,0.00096765
1000,512,850x1100,0,9,0.767608750029467,0.00015375
1000,256,3400x4400,1,6,1.9150573749793693,0.0005706
1000,256,3400x4400,1,7,2.558430750039406,0.0005838
1000,256,3400x4400,1,9,2.2794965419452637,0.000576
1000,256,3400x4400,1,3,3.183041915996,0.0006180000000000001
1000,256,3400x4400,1,10,2.2901353330817074,0.0005874
1000,256,3400x4400,1,2,3.6615683749550954,0.0006360000000000001
1000,256,3400x4400,1,1,4.078348624985665,0.0006612
1000,256,3400x4400,1,4,3.4481384169775993,0.00063
